experiment,level,model_family,scope,trained_asset,Asset,Period,model,n_obs,rmse,mae,qlike,actual_mean,prediction_mean
GARCH_Rolling,overall,GARCH,asset_specific_rolling,KBE,KBE,overall,GJR_GARCH_11,1384,28.24321564848764,10.737037096338112,1.522167968452087,10.083078202879316,10.36167003995303
GARCH_Rolling,overall,GARCH,asset_specific_rolling,SPY,SPY,overall,GJR_GARCH_11,1384,7.707248402663991,2.729455712938311,1.5944213782609682,2.6034217390625787,2.7923516078400574
GARCH_Rolling,overall,GARCH,asset_specific_rolling,XLF,XLF,overall,GJR_GARCH_11,1384,22.74647211762228,8.88745270628855,1.6301234062118135,8.51254702495501,8.768922441502088
ML_Rolling,overall,ML,asset_specific_rolling,KBE,KBE,overall,RandomForest,1384,27.945441927064465,10.647220871809004,1.5614014108485723,10.083078202879316,10.027022055299142
ML_Rolling,overall,ML,asset_specific_rolling,SPY,SPY,overall,RandomForest,1384,8.060456263870613,2.870882254198193,1.6431405260327314,2.6034217390625787,2.8099871135605623
ML_Rolling,overall,ML,asset_specific_rolling,XLF,XLF,overall,RandomForest,1384,22.86634838470604,9.20039969094182,1.674276746649235,8.51254702495501,9.08497937946282
ML_Strict_PreCrisis,overall,Benchmark,asset_specific,KBE,KBE,overall,Naive_Rolling22,1384,28.29678877510828,10.770663605701104,2.699102703769853,10.083078202879316,10.083109316787183
ML_Strict_PreCrisis,overall,Benchmark,asset_specific,SPY,SPY,overall,Naive_Rolling22,1384,8.031967008592336,2.7764613332944097,1.4992680206746765,2.6034217390625787,2.6061125362364432
ML_Strict_PreCrisis,overall,Benchmark,asset_specific,XLF,XLF,overall,Naive_Rolling22,1384,23.139536823444537,8.924043838978346,2.498891334393712,8.51254702495501,8.513976648351564
