asset,period,model,n_obs,lb_resid_pvalue_lag_10,lb_squared_resid_pvalue_lag_10,lb_resid_pvalue_lag_20,lb_squared_resid_pvalue_lag_20,arch_lm_pvalue_lag_10,jb_stat,jb_pvalue,sign_bias_coef,sign_bias_pvalue,engle_ng_joint_pvalue,remaining_residual_autocorrelation,remaining_squared_residual_autocorrelation,remaining_arch_effect,non_normal_standardized_residuals,remaining_simple_sign_bias,remaining_engle_ng_bias,diagnostic_pass_count,diagnostic_total_count
SPY,full_sample,GARCH_11,1791,0.06274660218782782,0.1758789933567525,0.20512899460545628,0.5972313239495949,0.1934118645891854,677.1802613890546,8.957248283405354e-148,0.2603210109893777,0.011552023886277416,0.00130577377747718,no,no,no,yes,yes,yes,3,5
SPY,full_sample,GJR_GARCH_11,1791,0.07213467536567755,0.16357548431855018,0.21860199305914588,0.5149976858719012,0.14313984935975552,550.6524547706298,2.6750920045227414e-120,0.18583467590058383,0.06232184108873979,0.00031917376719072335,no,no,no,yes,no,yes,4,5
SPY,full_sample,EGARCH_11,1791,0.031311525988723624,0.06395304928470592,0.11356461760194474,0.23145749861279918,0.06962241614337482,539.7528143861906,6.22537561445621e-118,0.0903269609914211,0.36431485159717036,0.0009718605744087508,yes,no,no,yes,no,yes,3,5
SPY,pre_crisis,GARCH_11,406,0.11534360916375735,0.9942807220483557,0.5793464103826593,0.9999904454923526,0.9949812835081396,1162.724137573998,3.293529349813347e-253,0.47953135180752593,0.13923990327817448,0.39621083118511646,no,no,no,yes,no,no,5,5
SPY,pre_crisis,GJR_GARCH_11,406,0.22884938981885702,0.9895252376056775,0.7100562472164719,0.9999733101746137,0.9872376862533091,1271.406209384264,8.272742440788396e-277,0.3796322846743472,0.2568477266101561,0.4225273894577465,no,no,no,yes,no,no,5,5
SPY,pre_crisis,EGARCH_11,406,0.2174352955474779,0.8884757822585687,0.7245662713455355,0.9949576606806931,0.86713145583916,227.1978627755917,4.619669944265355e-50,0.10929990256152701,0.6516239200546512,0.37573207744112136,no,no,no,yes,no,no,5,5
SPY,crisis,GARCH_11,504,0.38646977305900243,0.016433642804065566,0.5466830030490364,0.23635467616729147,0.008907115655310783,11.991613193421129,0.002489168408664653,0.009427508510795301,0.9481066542203664,0.21022161700546493,no,yes,yes,yes,no,no,3,5
SPY,crisis,GJR_GARCH_11,504,0.2841212578395493,0.14895296346662354,0.48946789258118373,0.5445213701496832,0.08239569965661808,8.338031040029737,0.015467480055356234,-0.08566146828546382,0.5407043442282127,0.11686044541117843,no,no,no,yes,no,no,5,5
SPY,crisis,EGARCH_11,504,0.24986077418341063,0.026619133123416235,0.38979634247512424,0.25720481017795943,0.014832512557095185,15.080753598176745,0.0005311974293773256,-0.20499775309813686,0.14966087956896612,0.09111582391635513,no,yes,yes,yes,no,no,3,5
SPY,post_crisis,GARCH_11,881,0.590467257436342,0.00116914895087551,0.934529370148792,0.014336965845279192,0.005962381515063509,57.01266655231146,4.1673191224398243e-13,0.33586384690769383,0.0030180954996992105,0.00034102799390138295,no,yes,yes,yes,yes,yes,1,5
SPY,post_crisis,GJR_GARCH_11,881,0.5714483393568992,0.00935708158744076,0.9319874539701752,0.047157682047177345,0.016227327951416147,46.12737149297436,9.628719782741e-11,0.2921348937866177,0.008619523817356853,2.378598595463346e-05,no,yes,yes,yes,yes,yes,1,5
SPY,post_crisis,EGARCH_11,881,0.33943739146173535,0.0008690628755100907,0.8157148120853305,0.004934357671341843,0.0010445605609104096,63.69195690911292,1.4772951988045995e-14,0.1546231697285197,0.18208376953508976,0.00021337063739178036,no,yes,yes,yes,no,yes,2,5
XLF,full_sample,GARCH_11,1791,0.006860829500787901,0.32341726179152136,0.040944046112323634,0.5890262006352837,0.36061622082041966,347.40208570038664,3.652545118557154e-76,0.24145300758334373,0.013209221365214826,0.046025444532107745,yes,no,no,yes,yes,yes,2,5
XLF,full_sample,GJR_GARCH_11,1791,0.015870024079833664,0.09492230177289501,0.05651608975565003,0.2751168137180782,0.12816452321634922,262.34969751170655,1.0751944670571661e-57,0.14854450865006188,0.10596438779938006,0.07361696446529613,yes,no,no,yes,no,no,4,5
XLF,full_sample,EGARCH_11,1791,0.01371362065325341,0.0038969381385803976,0.04148749869141728,0.04686905784189767,0.006644361470629616,313.38241793171295,8.909894945036344e-69,0.10391483973468496,0.27025141013314424,0.19625740464084615,yes,yes,yes,yes,no,no,2,5
XLF,pre_crisis,GARCH_11,406,0.2754842056753372,0.7510796903908757,0.4702134623930889,0.9870673491566839,0.791091746074775,435.38223607956655,2.870441339134583e-95,0.5727849932910388,0.03280748800475036,0.1655888736158641,no,no,no,yes,yes,no,4,5
XLF,pre_crisis,GJR_GARCH_11,406,0.4992222885991102,0.8929910978545997,0.7017902672796742,0.9965476381432661,0.9158259668506517,276.5345924050367,8.938738484555221e-61,0.4250349396595551,0.08533662447021868,0.31389665520491944,no,no,no,yes,no,no,5,5
XLF,pre_crisis,EGARCH_11,406,0.3056391453524037,0.2701216546738064,0.5904592816873518,0.5928302716181924,0.409656415920258,67.65648027529096,2.0350822937481696e-15,0.28667487151341314,0.1546481621897374,0.436940374665,no,no,no,yes,no,no,5,5
XLF,crisis,GARCH_11,504,0.20534020594015223,0.8700876062923792,0.6978598762379379,0.8673417452344574,0.8657009274827003,30.116188958508207,2.886374371242999e-07,0.0514221435531518,0.7449330161646244,0.734661902880582,no,no,no,yes,no,no,5,5
XLF,crisis,GJR_GARCH_11,504,0.14758077842550513,0.6795817683577015,0.6389177674286193,0.6909782405401816,0.6720056631240484,8.943991317033927,0.01142449369731886,-0.07117125059416968,0.634624849932,0.6887897550609523,no,no,no,yes,no,no,5,5
XLF,crisis,EGARCH_11,504,0.10774646305593327,0.3999263551130965,0.5189939041641366,0.5031948886012471,0.427280605272091,5.129890533356189,0.07692339159936995,-0.17515588662818188,0.20775471857474062,0.4460857958991413,no,no,no,no,no,no,5,5
XLF,post_crisis,GARCH_11,881,0.5136325569620623,0.0038343666826318214,0.6602552475674572,0.07448740304688191,0.0036982674886540563,85.47058713982284,2.7561180801085303e-19,0.26182360903331364,0.03524251529901016,0.05183534711416311,no,yes,yes,yes,yes,no,2,5
XLF,post_crisis,GJR_GARCH_11,881,0.6418881322881461,0.007770369332468118,0.7436028016305567,0.13270803026528694,0.01406873756867658,68.43112651425234,1.381559782118442e-15,0.258488256486631,0.03243147244670482,0.016739518784395353,no,yes,yes,yes,yes,yes,1,5
XLF,post_crisis,EGARCH_11,881,0.6585082020728928,0.0023090668229914053,0.7653183604433046,0.06368252030682577,0.0027997984554751134,101.45355350815511,9.324826736168286e-23,0.216366881665556,0.08869903945794655,0.06710719178008086,no,yes,yes,yes,no,no,3,5
KBE,full_sample,GARCH_11,1791,0.07529936330382038,0.013328299749604247,0.15456949704013648,0.05988873119555522,0.03599620239151726,236.52815165910906,4.350753315723954e-52,0.23889709752401692,0.012071306100775912,0.028382926967843163,no,yes,yes,yes,yes,yes,1,5
KBE,full_sample,GJR_GARCH_11,1791,0.16365274198162275,0.02771733106650521,0.19293951558605021,0.07042858714222205,0.06345695765278553,153.95422758991984,3.709063306976931e-34,0.15558612667357224,0.08115336699947054,0.0224307336474397,no,yes,no,yes,no,yes,3,5
KBE,full_sample,EGARCH_11,1791,0.17156240924180602,0.021528319732613606,0.1760443630857508,0.06972649997558886,0.05289765862095931,153.92789062694874,3.758229047053136e-34,0.12940372662185054,0.13445371918840723,0.027012207094451367,no,yes,no,yes,no,yes,3,5
KBE,pre_crisis,GARCH_11,406,0.5362090600140156,0.3948672645137729,0.4625864110085668,0.901219055459066,0.4463818671615132,134.80547108200102,5.3378195671115946e-30,0.6930963430041515,0.000993944899207455,0.005361282813615939,no,no,no,yes,yes,yes,3,5
KBE,pre_crisis,GJR_GARCH_11,406,0.6795441406512561,0.714198103159058,0.5706370727671751,0.9747643083168012,0.7297497478258437,102.60574562911621,5.2413773890921293e-23,0.6153851658261779,0.0025349424148958734,0.0008051496804547509,no,no,no,yes,yes,yes,3,5
KBE,pre_crisis,EGARCH_11,406,0.6468991118867007,0.4058353894681303,0.5825415405606876,0.8642342260581803,0.4692816582700974,81.99318587950303,1.5682161044407026e-18,0.5447157558201243,0.006099392396136016,0.0003218148830916394,no,no,no,yes,yes,yes,3,5
KBE,crisis,GARCH_11,504,0.14869279135681404,0.9001077306838379,0.5260567569148533,0.9145178711007157,0.8974726445756513,33.345827321959575,5.741767461022415e-08,0.128445314206642,0.42878374422268783,0.5997114252776719,no,no,no,yes,no,no,5,5
KBE,crisis,GJR_GARCH_11,504,0.13022289169157475,0.7244216365182798,0.51549569338042,0.7836167739493829,0.7089718377538257,12.34725109261217,0.002083667855178983,-0.007141546930633541,0.9638757203488462,0.39154511483839366,no,no,no,yes,no,no,5,5
KBE,crisis,EGARCH_11,504,0.1278285906467028,0.3367747756113361,0.5106205180969031,0.5508272555473869,0.38753289095921334,14.879953962496735,0.0005872987162736823,-0.14512270018858475,0.3272034454828504,0.33178073324825474,no,no,no,yes,no,no,5,5
KBE,post_crisis,GARCH_11,881,0.69507617295194,8.24929461381722e-05,0.6436798890216138,0.0018779118505654346,0.00020839406970882057,92.84044240262459,6.917578298821274e-21,0.16056005523598105,0.20309586043756778,0.2887110179547856,no,yes,yes,yes,no,no,3,5
KBE,post_crisis,GJR_GARCH_11,881,0.7728895009643916,0.00037345650594231504,0.70246982446851,0.005778174509383379,0.001267397681142235,65.27413026987831,6.697345540921119e-15,0.140960625232625,0.24398597648211445,0.22276300288496637,no,yes,yes,yes,no,no,3,5
KBE,post_crisis,EGARCH_11,881,0.810459870810774,0.00045282770092802,0.7280569489044407,0.007627560274291742,0.0011039867074099032,65.88584713705815,4.932533873897176e-15,0.1353717145132972,0.2628331480206893,0.250328373226414,no,yes,yes,yes,no,no,3,5
