scope,Asset,Period,model,n_obs,rmse,mae,qlike,actual_mean,prediction_mean
asset_specific_rolling,KBE,crisis,GradientBoosting,504,45.858288685533125,22.428284432523043,10588288.779655864,21.487942525185087,18.47365448425341
asset_specific_rolling,KBE,crisis,LightGBM,504,46.13765308716569,22.619480763616938,67939008.63884267,21.487942525185087,18.388804559425157
asset_specific_rolling,KBE,crisis,Naive_Rolling22,504,45.902520700492516,23.27971136370759,1.5052528749710168,21.487942525185087,21.3955718768798
asset_specific_rolling,KBE,crisis,RandomForest,504,45.261754380303444,22.342060797555444,1.4549665941041505,21.487942525185087,20.21712137787151
asset_specific_rolling,KBE,crisis,Ridge,504,48.97711658325344,25.19583533862014,97788948.12111609,21.487942525185087,23.208145693799256
asset_specific_rolling,KBE,crisis,XGBoost,504,46.66765431097785,23.24115086743842,3851782.146095704,21.487942525185087,20.589038475791234
asset_specific_rolling,KBE,post_crisis,GradientBoosting,880,7.602029499513277,4.480600199148066,1.9302469166295773,3.5512013637405553,5.040928417902167
asset_specific_rolling,KBE,post_crisis,LightGBM,880,7.591916770362909,4.2218068520542,1482166.2275107189,3.5512013637405553,4.59621119923467
asset_specific_rolling,KBE,post_crisis,Naive_Rolling22,880,7.24814678041547,3.606390798842841,1.6328112917817061,3.5512013637405553,3.604153486915957
asset_specific_rolling,KBE,post_crisis,RandomForest,880,7.410368985164388,3.9492670961542236,1.6223595331658323,3.5512013637405553,4.190874261462238
asset_specific_rolling,KBE,post_crisis,Ridge,880,8.698490146202948,4.556174771630349,87072624.79199545,3.5512013637405553,4.039388396383914
asset_specific_rolling,KBE,post_crisis,XGBoost,880,8.31961522454475,4.6336563803596835,1.699515938973496,3.5512013637405553,5.332787197354165
asset_specific_rolling,SPY,crisis,GradientBoosting,504,13.143916977022768,5.1870426569044,1.8184573244819628,4.861622112693699,4.47574199150023
asset_specific_rolling,SPY,crisis,LightGBM,504,13.316380170516672,5.34009003299167,2399780.1121044406,4.861622112693699,4.5487226703021895
asset_specific_rolling,SPY,crisis,Naive_Rolling22,504,12.754787459163078,5.129925636602693,1.5946898248065926,4.861622112693699,4.846290414297171
asset_specific_rolling,SPY,crisis,RandomForest,504,12.819841074213322,5.251084297570342,1.5999047880239061,4.861622112693699,5.032066620003994
asset_specific_rolling,SPY,crisis,Ridge,504,13.943071355061646,5.765071761382852,44975473.74683968,4.861622112693699,5.675275075274593
asset_specific_rolling,SPY,crisis,XGBoost,504,15.876672557801955,5.734304141195798,1.6902013283747488,4.861622112693699,5.0032605149797975
asset_specific_rolling,SPY,post_crisis,GradientBoosting,880,2.91676361312447,1.6598537983929844,1.7872343376826199,1.3100887978011189,1.7163002579225957
asset_specific_rolling,SPY,post_crisis,LightGBM,880,2.8921632292001282,1.5809465252814572,811827.8425631365,1.3100887978011189,1.5754385024541266
asset_specific_rolling,SPY,post_crisis,Naive_Rolling22,880,2.8786541514463466,1.4285681413996656,1.761285137486907,1.3100887978011189,1.3231015697107544
asset_specific_rolling,SPY,post_crisis,RandomForest,880,2.8381023763597892,1.5076756293577804,1.6679028123468769,1.3100887978011189,1.5373415780520514
asset_specific_rolling,SPY,post_crisis,Ridge,880,3.4285265681214288,1.6972903140005393,20746024.077244785,1.3100887978011189,1.6061578110018584
asset_specific_rolling,SPY,post_crisis,XGBoost,880,2.980432660100325,1.6070889062884175,1.7323868391919013,1.3100887978011189,1.6549521719190208
asset_specific_rolling,XLF,crisis,GradientBoosting,504,37.23118114487891,18.943204476094216,2.0174313423062853,18.360091584501824,17.3229590927832
asset_specific_rolling,XLF,crisis,LightGBM,504,38.697875679197146,20.41319996179525,8577051.689119093,18.360091584501824,18.086088343030543
asset_specific_rolling,XLF,crisis,Naive_Rolling22,504,37.4845038499492,19.26643169204656,1.5759334077006735,18.360091584501824,18.279771640029576
asset_specific_rolling,XLF,crisis,RandomForest,504,37.02860716628861,19.622670870886044,1.5468829181206174,18.360091584501824,19.112495652048686
asset_specific_rolling,XLF,crisis,Ridge,504,40.37968085469906,20.968956910700378,178168779.59095383,18.360091584501824,18.64443734376273
asset_specific_rolling,XLF,crisis,XGBoost,504,36.920142946641576,19.222160347919832,1.5632573693670786,18.360091584501824,18.11900793276136
asset_specific_rolling,XLF,post_crisis,GradientBoosting,880,6.3705292184379845,3.8110290556094633,38660.088303393095,2.872589686305472,4.193228675127725
asset_specific_rolling,XLF,post_crisis,LightGBM,880,6.309269964313549,3.5984994171524174,85299.97594759223,2.872589686305472,3.911331874070594
asset_specific_rolling,XLF,post_crisis,Naive_Rolling22,880,6.11277099980882,3.000676250402914,1.7895538584737665,2.872589686305472,2.9208395167541528
asset_specific_rolling,XLF,post_crisis,RandomForest,880,6.087298651091857,3.2312807424283077,1.7472386666247162,2.872589686305472,3.3419473324363707
asset_specific_rolling,XLF,post_crisis,Ridge,880,7.39381527075162,3.7144916495874845,64285204.82520347,2.872589686305472,3.3066759603434157
asset_specific_rolling,XLF,post_crisis,XGBoost,880,6.691236097682841,3.835357177696433,1.8225683483364823,2.872589686305472,4.362864057990637
